shoe_name,original_price,discounted_price,url,category,review_count,star,product_code,shoe_type,durability,comfort,size,size_count,color_count,brand,color_1,color_2,color_3,color_4,color_5
Columbia women Grey TRAILSTORM MID Water Resistant Shoes,"6,999","9,999",https://columbiasportswear.co.in/trailstorm-mid-waterproof-bl0155-616,women,38,4,BL0155-053,,,,,5.0,3,columbia,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,
Columbia women Red TRAILSTORM MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/trailstorm-mid-waterproof-bl0155-616,women,38,4,BL0155-616,,,,,5.0,3,columbia,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,
Columbia women Black FACET 75 OUTDRY (Complete Waterproof),"14,999",,https://columbiasportswear.co.in/women/footwear-women/columbia-women-black-facet-75-outdry-bl8538-010,women,0,0,BL8538-010,,,,,5.0,0,columbia,,,,,
Columbia women Grey PEAKFREAK II MID OUTDRY (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,women,22,5,BL7573-089,,,,,5.0,3,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,
Columbia women Black Peakfreak II Mid Outdry (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,women,22,5,BL7573-010,,,,,5.0,3,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,
Columbia women Green Peakfreak II Mid Outdry (Complete Waterproof),"10,499",,https://columbiasportswear.co.in/columbia-women-green-peakfreak-ii-mid-outdry-bl7573-302,women,22,5,BL7573-302,,,,,5.0,3,columbia,"Dark Grey, Dark Coral","Black, Ti Grey Steel","Mosstone, Blue Dusk",,
Columbia women Black Crestwood Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/columbia-women-brown-crestwood-waterproof-bl5372-275,women,0,0,BL5372-006,,,,,5.0,2,columbia,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,
Columbia women Brown Crestwood Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/columbia-women-brown-crestwood-waterproof-bl5372-275,women,0,0,BL5372-275,,,,,5.0,2,columbia,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,
Columbia women Brown REDMOND V2 Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/redmond-v2-wp-bl0834-033,women,0,0,BL0834-227,,,,,5.0,2,columbia,Pebble,Ti Grey,,,
Columbia women Grey REDMOND V2 Water Resistant Shoes,"6,999",,https://columbiasportswear.co.in/redmond-v2-wp-bl0834-033,women,0,0,BL0834-033,,,,,5.0,2,columbia,Pebble,Ti Grey,,,
Columbia women Black STRATA TRAIL MID WP,"6,999",,https://columbiasportswear.co.in/columbia-women-grey-strata-trail-mid-wp-yl8651-033,women,0,0,YL8651-010,,,,,6.0,2,columbia,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,
Columbia women Grey STRATA TRAIL MID WP,"6,999",,https://columbiasportswear.co.in/columbia-women-grey-strata-trail-mid-wp-yl8651-033,women,0,0,YL8651-033,,,,,6.0,2,columbia,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,
Columbia women Black HEAVENLY OMNI HEAT Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/heavenly-omni-heat-bl1661-010,women,0,0,BL1661-010,,,,,5.0,1,columbia,Black,,,,
Columbia women NEWTON RIDGE PLUS OMNI HEAT,"10,999",,https://columbiasportswear.co.in/women/footwear-women/newton-ridge-plus-omni-heat-bl0933-472,women,0,0,BL0933-472,,,,,5.0,0,columbia,,,,,
Columbia women Grey Crestwood Mid Water Resistant Shoes,"7,999",,https://columbiasportswear.co.in/columbia-women-grey-crestwood-mid-waterproof-bl5371-053,women,0,0,BL5371-055,,,,,5.0,2,columbia,"Graphite, Bright Plum","Graphite, Daredevil",,,
Columbia women Grey Crestwood Mid Water Resistant Shoes,"7,999",,https://columbiasportswear.co.in/columbia-women-grey-crestwood-mid-waterproof-bl5371-053,women,0,0,BL5371-053,,,,,5.0,2,columbia,"Graphite, Bright Plum","Graphite, Daredevil",,,
Columbia women Blue NEWTON RIDGE PLUS AMPED DESERT NIGHT Water Resistant Shoes,"13,999",,https://columbiasportswear.co.in/women/footwear-women/columbia-women-blue-newton-ridge-plus-wp-amped-desert-night-bl8916-466,women,0,0,BL8916-466,,,,,5.0,0,columbia,,,,,
Columbia women Grey Escape Thrive Endure (Complete Waterproof),"12,999",,https://columbiasportswear.co.in/women/footwear-women/columbia-women-grey-escape-thrive-endure-bl4980-099,women,0,0,BL4980-099,,,,,5.0,0,columbia,,,,,
Columbia women Black RED HILLS OMNI-HEAT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-women-black-red-hills-omni-heat-yl5934-010,women,0,0,YL5934-005,,,,,5.0,2,columbia,"Kettle, Peach Blossom","Black, Sahara",,,
Columbia women Black RED HILLS OMNI-HEAT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-women-black-red-hills-omni-heat-yl5934-010,women,0,0,YL5934-010,,,,,5.0,2,columbia,"Kettle, Peach Blossom","Black, Sahara",,,
Columbia women Brown SLOPESIDE PEAK LUXE Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/slopeside-peak-luxe-bl5106-279,women,0,0,BL5106-279,,,,,5.0,1,columbia,"Dark Stone, Sea Salt",,,,
Columbia men Black TRAILSTORM PEAK MID,"10,399","12,999",https://columbiasportswear.co.in/trailstorm-peak-mid-bm5578-231,men,32,5,BM5578-005,,,,,5.0,2,columbia,"Kettle, Black","Cordovan, Black",,,
Columbia men Brown TRAILSTORM PEAK MID,"10,399","12,999",https://columbiasportswear.co.in/trailstorm-peak-mid-bm5578-231,men,31,5,BM5578-231,,,,,6.0,2,columbia,"Kettle, Black","Cordovan, Black",,,
Columbia men Black TRAILSTORM BEYOND,"6,299","6,999",https://columbiasportswear.co.in/men/footwear-men/trailstorm-beyond-bm0354-010,men,0,0,BM0354-010,,,,,5.0,0,columbia,,,,,
Columbia men Black COLUMBIA VENT AERO,"8,099","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bm0159-468,men,30,4,BM0159-010,,,,,5.0,2,columbia,"Black, Graphite","Collegiate Navy, Red Quartz",,,
Columbia men Blue COLUMBIA VENT AERO,"7,199","8,999",https://columbiasportswear.co.in/columbia-vent-aero-bm0159-468,men,36,4,BM0159-468,,,,,5.0,2,columbia,"Black, Graphite","Collegiate Navy, Red Quartz",,,
Columbia men Orange MONTRAIL TRINITY AG,"10,399","12,999",https://columbiasportswear.co.in/men/footwear-men/montrail-trinity-ag-bm8310-813,men,17,5,BM8310-813,,,,,5.0,0,columbia,,,,,
Columbia men Black CRESTWOOD Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/columbia-men-brown-crestwood-waterproof-bm5372-255,men,59,4,BM5372-006,,,,,5.0,4,columbia,"Kettle, Black","Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",
Columbia men Brown CRESTWOOD Water Resistant Shoes,"8,099","8,999",https://columbiasportswear.co.in/columbia-men-brown-crestwood-waterproof-bm5372-255,men,91,4,BM5372-241,,,,,5.0,4,columbia,"Kettle, Black","Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",
Columbia men Grey Crestwood Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/columbia-men-brown-crestwood-waterproof-bm5372-255,men,30,4,BM5372-053,,,,,7.0,4,columbia,"Kettle, Black","Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",
Columbia men Brown Crestwood Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/columbia-men-brown-crestwood-waterproof-bm5372-255,men,47,4,BM5372-255,,,,,7.0,4,columbia,"Kettle, Black","Oatmeal, Beach","Graphite, Dark Adobe","Mud, Squash",
Columbia men Black WOODBURN II CHUKKA OMNI-HEAT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/men/footwear-men/columbia-men-black-woodburn-ii-chukka-wp-omni-heat-bm3926-010,men,0,0,BM3926-010,,,,,6.0,0,columbia,,,,,
Columbia men Black EXPEDITIONIST BOOT Water Resistant Shoes,"15,999",,https://columbiasportswear.co.in/expeditionist-boot-bm8525-010,men,30,4,BM8525-010,,,,,5.0,1,columbia,"Black, Graphite",,,,
Columbia men BROWN Plateau Venture,"7,999",,https://columbiasportswear.co.in/columbia-men-brown-plateau-venture-bm7536-213,men,0,0,BM7536-255,,,,,7.0,2,columbia,"Mud, Abyss","Peatmoss, Black",,,
Columbia men Brown Plateau Venture,"7,999",,https://columbiasportswear.co.in/columbia-men-brown-plateau-venture-bm7536-213,men,0,0,BM7536-213,,,,,7.0,2,columbia,"Mud, Abyss","Peatmoss, Black",,,
Columbia men Black CRESTWOOD MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-men-blue-crestwood-mid-waterproof-bm5371-468,men,60,4,BM5371-014,,,,,0.0,5,columbia,"Black, Charcoal","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black"
Columbia men Grey CRESTWOOD MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-men-blue-crestwood-mid-waterproof-bm5371-468,men,60,4,BM5371-020,,,,,5.0,5,columbia,"Black, Charcoal","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black"
Columbia men Brown CRESTWOOD MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-men-blue-crestwood-mid-waterproof-bm5371-468,men,58,4,BM5371-231,,,,,5.0,5,columbia,"Black, Charcoal","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black"
Columbia men Green Crestwood Mid Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-men-blue-crestwood-mid-waterproof-bm5371-468,men,30,4,BM5371-384,,,,,7.0,5,columbia,"Black, Charcoal","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black"
Columbia men Blue Crestwood Mid Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/columbia-men-blue-crestwood-mid-waterproof-bm5371-468,men,30,4,BM5371-468,,,,,7.0,5,columbia,"Black, Charcoal","Light Cloud, Sea Salt","Cordovan, Squash","Nori, Black","Collegiate Navy, Black"
Columbia men BLACK Hood River Slide,"3,499",,https://columbiasportswear.co.in/columbia-men-blue-hood-river-slide-bm0166-441,men,36,4,BM0166-010,,,,,5.0,2,columbia,"Black, White","Mountain, Admiral",,,
Columbia men Blue Hood River Slide,"3,499",,https://columbiasportswear.co.in/columbia-men-blue-hood-river-slide-bm0166-441,men,38,4,BM0166-441,,,,,5.0,2,columbia,"Black, White","Mountain, Admiral",,,
Columbia men BLACK Breaksider Sandal,"5,999",,https://columbiasportswear.co.in/columbia-men-green-breaksider-sandal-bm0486-302,men,0,0,BM0486-010,,,,,5.0,2,columbia,"Black, Graphite","Mosstone, Golden Yellow",,,
Columbia men GREEN Breaksider Sandal,"5,999",,https://columbiasportswear.co.in/columbia-men-green-breaksider-sandal-bm0486-302,men,0,0,BM0486-302,,,,,5.0,2,columbia,"Black, Graphite","Mosstone, Golden Yellow",,,
Columbia men Grey RE-PEAK MID,"9,999",,https://columbiasportswear.co.in/columbia-men-brown-re-peak-mid-bm6940-247,men,0,0,BM6940-089,,,,,5.0,2,columbia,"DARK GREY, BLACK","Canvas Tan, Black",,,
Columbia men Brown RE-PEAK MID,"9,999",,https://columbiasportswear.co.in/columbia-men-brown-re-peak-mid-bm6940-247,men,0,0,BM6940-247,,,,,5.0,2,columbia,"DARK GREY, BLACK","Canvas Tan, Black",,,
Columbia men Green EXPEDITIONIST SHIELD Water Resistant Shoes,"14,999",,https://columbiasportswear.co.in/men/footwear-men/columbia-men-green-expeditionist-shield-bm9083-373,men,0,0,BM9083-373,,,,,6.0,0,columbia,,,,,
Columbia men Black HATANA MAX OUTDRY (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/columbia-men-black-hatana-max-outdry-bm0659-010,men,1,5,BM0659-013,,,,,0.0,3,columbia,"Black, Compass Blue","Deep Water, Spark","Black, White",,
Columbia men GREEN HATANA MAX OUTDRY,"10,999",,https://columbiasportswear.co.in/columbia-men-black-hatana-max-outdry-bm0659-010,men,0,0,BM0659-317,,,,,7.0,3,columbia,"Black, Compass Blue","Deep Water, Spark","Black, White",,
Columbia men Black HATANA MAX OUTDRY (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/columbia-men-black-hatana-max-outdry-bm0659-010,men,0,0,BM0659-010,,,,,5.0,3,columbia,"Black, Compass Blue","Deep Water, Spark","Black, White",,
Columbia men Black PEAKFREAK II OUTDRY (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/columbia-men-brown-peakfreak-ii-outdry-bm5953-247,men,31,5,BM5953-012,,,,,6.0,2,columbia,"Black, White","Canvas Tan, Black",,,
Columbia men Brown Peakfreak II Outdry (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/columbia-men-brown-peakfreak-ii-outdry-bm5953-247,men,21,5,BM5953-247,,,,,7.0,2,columbia,"Black, White","Canvas Tan, Black",,,
Columbia men BLACK ESCAPE THRIVE ULTRA,"12,999",,https://columbiasportswear.co.in/men/footwear-men/escape-thrive-ultra-bm7874-012,men,36,4,BM7874-012,,,,,5.0,0,columbia,,,,,
Columbia men Black TRAILSTORM Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/trailstorm-waterproof-bm0156-478,men,42,4,BM0156-010,,,,,9.0,4,columbia,"Black, Solar","Dark Grey, Bright Gold","Dark Moss, Mango","Dark Mountain, Steam",
Columbia men Grey TRAILSTORM Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/trailstorm-waterproof-bm0156-478,men,34,4,BM0156-089,,,,,5.0,4,columbia,"Black, Solar","Dark Grey, Bright Gold","Dark Moss, Mango","Dark Mountain, Steam",
Columbia men Green TRAILSTORM Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/trailstorm-waterproof-bm0156-478,men,34,4,BM0156-367,,,,,5.0,4,columbia,"Black, Solar","Dark Grey, Bright Gold","Dark Moss, Mango","Dark Mountain, Steam",
Columbia men Blue TRAILSTORM Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/trailstorm-waterproof-bm0156-478,men,34,4,BM0156-478,,,,,5.0,4,columbia,"Black, Solar","Dark Grey, Bright Gold","Dark Moss, Mango","Dark Mountain, Steam",
Columbia men BLACK Trailstorm Hiker 3 Strap,"6,999",,https://columbiasportswear.co.in/columbia-men-brown-trailstorm-hiker-3-strap-bm8210-231,men,4,5,BM8210-005,,,,,0.0,2,columbia,"Kettle, Black","Cordovan, Gold Amber",,,
Columbia men Brown TRAILSTORM HIKER 3 STRAP,"6,999",,https://columbiasportswear.co.in/columbia-men-brown-trailstorm-hiker-3-strap-bm8210-231,men,4,5,BM8210-231,,,,,5.0,2,columbia,"Kettle, Black","Cordovan, Gold Amber",,,
Columbia men Green FIRECAMP REMESH,"6,999",,https://columbiasportswear.co.in/columbia-men-blue-firecamp-remesh-bm1905-468,men,0,0,BM1905-399,,,,,5.0,2,columbia,"Stone Green, Black","Collegiate Navy, Tippet",,,
Columbia men Blue FIRECAMP REMESH,"6,999",,https://columbiasportswear.co.in/columbia-men-blue-firecamp-remesh-bm1905-468,men,0,0,BM1905-468,,,,,5.0,2,columbia,"Stone Green, Black","Collegiate Navy, Tippet",,,
Columbia men BROWN Columbia 2 Strap,"5,999",,https://columbiasportswear.co.in/columbia-men-green-columbia-2-strap-bm0111-339,men,37,4,BM0111-231,,,,,5.0,2,columbia,"Cordovan, Curry","Gravel, Black",,,
Columbia men GREEN Columbia 2 Strap,"5,999",,https://columbiasportswear.co.in/columbia-men-green-columbia-2-strap-bm0111-339,men,46,4,BM0111-339,,,,,5.0,2,columbia,"Cordovan, Curry","Gravel, Black",,,
Columbia men BROWN Hatana Breathe,"9,999",,https://columbiasportswear.co.in/columbia-men-green-hatana-breathe-bm7444-383,men,0,0,BM7444-227,,,,,6.0,2,columbia,"Pebble, Black","Nori, Gold Amber",,,
Columbia men GREEN Hatana Breathe,"9,999",,https://columbiasportswear.co.in/columbia-men-green-hatana-breathe-bm7444-383,men,0,0,BM7444-383,,,,,6.0,2,columbia,"Pebble, Black","Nori, Gold Amber",,,
Columbia men Black FACET 60 OUTDRY (Complete Waterproof),"12,799","15,999",https://columbiasportswear.co.in/facet-60-outdry-bm3530-858,men,12,5,BM3530-010,,,,,7.0,3,columbia,"Black, Red Jasper","Dark Grey, Silver Grey","Warm Copper, Black",,
Columbia men Grey FACET 60 OUTDRY (Complete Waterproof),"12,799","15,999",https://columbiasportswear.co.in/facet-60-outdry-bm3530-858,men,12,5,BM3530-089,,,,,5.0,3,columbia,"Black, Red Jasper","Dark Grey, Silver Grey","Warm Copper, Black",,
Columbia men Orange FACET 60 OUTDRY (Complete Waterproof),"15,999",,https://columbiasportswear.co.in/facet-60-outdry-bm3530-858,men,19,5,BM3530-858,,,,,5.0,3,columbia,"Black, Red Jasper","Dark Grey, Silver Grey","Warm Copper, Black",,
Columbia men Blue PEAKFREAK X2 OUTDRY (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/peakfreak-x2-outdry-bm0829-439,men,0,0,BM0829-415,,,,,8.0,3,columbia,"Blue Shadow, Golden Yellow","Graphite, Dark Adobe","Abyss, Fission",,
Columbia men Grey PEAKFREAK X2 OUTDRY (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/peakfreak-x2-outdry-bm0829-439,men,0,0,BM0829-053,,,,,6.0,3,columbia,"Blue Shadow, Golden Yellow","Graphite, Dark Adobe","Abyss, Fission",,
Columbia men Blue PEAKFREAK X2 OUTDRY (Complete Waterproof),"10,999",,https://columbiasportswear.co.in/peakfreak-x2-outdry-bm0829-439,men,0,0,BM0829-439,,,,,6.0,3,columbia,"Blue Shadow, Golden Yellow","Graphite, Dark Adobe","Abyss, Fission",,
Columbia men BLACK Thrive Revive,"6,499",,https://columbiasportswear.co.in/thrive-revive-bm8043-302,men,26,5,BM8043-010,,,,,5.0,3,columbia,"Black, Black","Dark Stone, Dark Stone","Mosstone, Mosstone",,
Columbia men BROWN Thrive Revive,"6,499",,https://columbiasportswear.co.in/thrive-revive-bm8043-302,men,26,5,BM8043-278,,,,,5.0,3,columbia,"Black, Black","Dark Stone, Dark Stone","Mosstone, Mosstone",,
Columbia men GREEN Thrive Revive,"6,499",,https://columbiasportswear.co.in/thrive-revive-bm8043-302,men,24,5,BM8043-302,,,,,5.0,3,columbia,"Black, Black","Dark Stone, Dark Stone","Mosstone, Mosstone",,
Columbia men Grey TRAILSTORM MID WATERPROOF,"9,999",,https://columbiasportswear.co.in/trailstorm-mid-waterproof-bm0155-472,men,59,4,BM0155-053,,,,,5.0,3,columbia,Graphite,"Kettle, Mountain Red","Dark Nocturnal, Fission",,
Columbia men Black TRAILSTORM MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/trailstorm-mid-waterproof-bm0155-472,men,69,4,BM0155-005,,,,,5.0,3,columbia,Graphite,"Kettle, Mountain Red","Dark Nocturnal, Fission",,
Columbia men Blue TRAILSTORM MID Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/trailstorm-mid-waterproof-bm0155-472,men,59,4,BM0155-472,,,,,5.0,3,columbia,Graphite,"Kettle, Mountain Red","Dark Nocturnal, Fission",,
Columbia men Black STRATA TRAIL MID WP,"7,999",,https://columbiasportswear.co.in/columbia-men-black-strata-trail-mid-wp-ym8651-010,men,0,0,YM8651-010,,,,,8.0,1,columbia,"Black, Owl",,,,
Columbia men Black FACET 45 OUTDRY (Complete Waterproof),"16,999",,https://columbiasportswear.co.in/men/footwear-men/facet-45-outdry-bm0133-010,men,10,5,BM0133-010,,,,,5.0,0,columbia,,,,,
Columbia men Black HOOD RIVER FLIP,"2,999",,https://columbiasportswear.co.in/men/footwear-men/columbia-men-black-hood-river-flip-bm6923-005,men,0,0,BM6923-005,,,,,5.0,0,columbia,,,,,
Columbia men Grey REDMOND V2 MID Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/redmond-v2-mid-wp-bm0833-231,men,44,4,BM0833-053,,,,,5.0,2,columbia,Graphite,Cordovan,,,
Columbia men Brown REDMOND V2 MID Water Resistant Shoes,"8,099","8,999",https://columbiasportswear.co.in/redmond-v2-mid-wp-bm0833-231,men,35,4,BM0833-231,,,,,5.0,2,columbia,Graphite,Cordovan,,,
Columbia men BLACK Montrail Trinity Fkt,"13,999",,https://columbiasportswear.co.in/montrail-trinity-fkt-bm6578-417,men,5,5,BM6578-010,,,,,5.0,2,columbia,"Black, White","Ocean Blue, Collegiate Navy",,,
Columbia men BLUE Montrail Trinity Fkt,"13,999",,https://columbiasportswear.co.in/montrail-trinity-fkt-bm6578-417,men,5,5,BM6578-417,,,,,5.0,2,columbia,"Black, White","Ocean Blue, Collegiate Navy",,,
Columbia men Brown REDMOND V2 Water Resistant Shoes,"7,999",,https://columbiasportswear.co.in/men/footwear-men/redmond-v2-wp-bi0834-255,men,0,0,BI0834-255,,,,,7.0,0,columbia,,,,,
Columbia men Grey CRESTWOOD Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/men/footwear-men/crestwood-waterproof-bi5372-053,men,0,0,BI5372-053,,,,,10.0,0,columbia,,,,,
Columbia men Black Facet 75 Mid Outdry (Complete Waterproof),"16,999",,https://columbiasportswear.co.in/columbia-men-green-facet-75-mid-outdry-bm7615-383,men,0,0,BM7615-010,,,,,5.0,2,columbia,"Black, Light Sand","Nori, Golden Yellow",,,
Columbia men Green Facet 75 Mid Outdry (Complete Waterproof),"16,999",,https://columbiasportswear.co.in/columbia-men-green-facet-75-mid-outdry-bm7615-383,men,0,0,BM7615-383,,,,,6.0,2,columbia,"Black, Light Sand","Nori, Golden Yellow",,,
Columbia men Grey Escape Thrive Endure (Complete Waterproof),"12,999",,https://columbiasportswear.co.in/columbia-men-black-escape-thrive-endure-shoes-bm4980-010,men,32,4,BM4980-099,,,,,0.0,2,columbia,"Slate Grey, Pure Silver","Black, White",,,
Columbia men Black ESCAPE THRIVE ENDURE (Complete Waterproof),"12,999",,https://columbiasportswear.co.in/columbia-men-black-escape-thrive-endure-shoes-bm4980-010,men,24,4,BM4980-010,,,,,6.0,2,columbia,"Slate Grey, Pure Silver","Black, White",,,
Columbia men Brown REDMOND V2 Water Resistant Shoes,"7,999",,https://columbiasportswear.co.in/redmond-v2-wp-bm0834-255,men,0,0,BM0834-255,,,,,6.0,1,columbia,"Mud, Dark Adobe",,,,
Columbia men Green FACET 75 OUTDRY (Complete Waterproof),"15,999",,https://columbiasportswear.co.in/columbia-men-grey-facet-75-outdry-bm8538-033,men,0,0,BM8538-383,,,,,5.0,2,columbia,"Nori, Black","Ti Grey Steel, Spicy",,,
Columbia men Grey Facet 75 Outdry (Complete Waterproof),"15,999",,https://columbiasportswear.co.in/columbia-men-grey-facet-75-outdry-bm8538-033,men,0,0,BM8538-033,,,,,5.0,2,columbia,"Nori, Black","Ti Grey Steel, Spicy",,,
Columbia men Grey Plateau Water Resistant Shoes,"8,999",,https://columbiasportswear.co.in/men/footwear-men/columbia-men-grey-plateau-waterproof-bm7516-088,men,0,0,BM7516-088,,,,,6.0,0,columbia,,,,,
Columbia men Blue FIRECAMP BOOT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/firecamp-boot-bm1766-397,men,0,0,BM1766-464,,,,,5.0,2,columbia,"Collegiate Navy, Bright Copper","Stone Green, Black",,,
Columbia men Green FIRECAMP BOOT Water Resistant Shoes,"9,999",,https://columbiasportswear.co.in/firecamp-boot-bm1766-397,men,0,0,BM1766-397,,,,,0.0,2,columbia,"Collegiate Navy, Bright Copper","Stone Green, Black",,,
Columbia men Green EXPEDITIONIST PROTECT OMNI-HEAT Water Resistant Shoes,"12,999",,https://columbiasportswear.co.in/men/footwear-men/columbia-men-green-expeditionist-protect-omni-heat-bm8287-339,men,0,0,BM8287-339,,,,,6.0,0,columbia,,,,,
Columbia men Black FAIRBANKS OMNI-HEAT,"10,999",,https://columbiasportswear.co.in/columbia-men-blue-fairbanks-omni-heat-bm2806-439,men,0,0,BM2806-013,,,,,6.0,2,columbia,"Black, Cordovan","Abyss, Dark Adobe",,,
Columbia men Blue FAIRBANKS OMNI-HEAT,"10,999",,https://columbiasportswear.co.in/columbia-men-blue-fairbanks-omni-heat-bm2806-439,men,0,0,BM2806-439,,,,,6.0,2,columbia,"Black, Cordovan","Abyss, Dark Adobe",,,
Nike Air Force 1 '07,7 495.00,,https://www.nike.com/in/t/air-force-1-07-shoes-WrLlWX/CW2288-111,men,1316,4.8,CW2288-111,Shoes,,80,54.0,20.0,2,Nike,White/White,Black/Black,,,
Nike Air Force 1 '07,7 495.00,,https://www.nike.com/in/t/air-force-1-07-shoes-WrLlWX/CW2288-111,men,1316,4.8,CW2288-001,Shoes,,80,54.0,17.0,2,Nike,White/White,Black/Black,,,
Nike Court Vision Low Next Nature,4 995.00,,https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-101,men,105,4.7,DH2987-110,Shoes,,84,67.0,0.0,7,Nike,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,4 995.00,,https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-101,men,105,4.7,DH2987-101,Shoes,,84,67.0,17.0,7,Nike,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,4 995.00,,https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-101,men,105,4.7,DH2987-004,Shoes,,84,67.0,0.0,7,Nike,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,4 995.00,,https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-101,men,105,4.7,DH2987-100,Shoes,,84,67.0,0.0,7,Nike,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,4 995.00,,https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-101,men,105,4.7,DH2987-001,Shoes,,84,67.0,13.0,7,Nike,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,4 247.00,,https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-101,men,105,4.7,DH2987-106,Shoes,,84,67.0,0.0,7,Nike,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Nike Court Vision Low Next Nature,4 995.00,,https://www.nike.com/in/t/court-vision-low-next-nature-shoes-N2fFHb/DH2987-101,men,105,4.7,DH2987-002,Shoes,,84,67.0,17.0,7,Nike,White/Malachite/White/Black,White/White/Black,Wolf Grey/White/University Red,White/White/White,Black/Black/White
Jordan Hydro XI,4 995.00,,https://www.nike.com/in/t/jordan-hydro-xi-slides-PHx6d3/FN2452-170,men,0,0,FN2452-170,Slides,,,,0.0,1,Nike,,,,,
Nike Air Humara,14 995.00,,https://www.nike.com/in/t/air-humara-shoes-Hs4Qsh/FJ7098-301,men,8,4.8,FJ7098-400,Shoes,,,,12.0,5,Nike,Polar/Light Ultramarine/Deep Royal Blue/Buff Gold,Wheatgrass/Black/Wheatgrass/Yellow Ochre,Buff Gold/Bronzine/Velvet Brown/Buff Gold,Oil Green/Phantom/Light Bone/Malachite,Black/Metallic Silver/Black/Metallic Silver
